Date_UTC,MLT,MLAT,GLON,GLAT
2000-02-25 10:45:00,23.10,66.68,208.45,66.90
2000-02-25 11:39:00,0.35,65.29,212.14,64.87
2000-02-25 12:05:00,1.19,66.46,218.84,64.78
2000-02-25 16:00:00,3.77,70.28,203.38,71.32
2000-02-25 20:46:00,22.82,66.11,23.70,69.46
2000-02-25 21:33:00,20.59,76.28,321.65,72.60
2000-02-26 00:23:00,2.21,65.83,20.77,69.06
2000-02-26 01:51:00,23.32,70.42,308.27,64.17
2000-02-26 06:03:00,23.23,66.76,265.36,56.38
2000-02-26 06:23:00,23.56,71.26,265.95,61.11
2000-02-26 12:41:00,21.23,70.28,137.71,75.94
2000-02-26 17:09:00,4.92,70.28,203.38,71.32
2000-02-26 17:34:00,23.00,68.70,80.70,73.53
2000-02-26 18:47:00,6.54,70.28,203.38,71.32
2000-02-26 19:27:00,3.60,66.06,128.92,71.59
2000-02-26 19:54:00,21.75,66.55,18.94,69.66
2000-02-26 23:15:00,5.89,72.02,104.28,77.72
2000-02-27 06:57:00,22.07,69.52,245.52,62.48
2000-02-27 07:19:00,0.53,66.76,265.36,56.38
2000-02-27 09:52:00,22.90,66.46,218.84,64.78
2000-02-27 11:10:00,22.99,70.28,203.38,71.32
2000-02-27 13:43:00,20.55,72.02,104.28,77.72
2000-02-27 16:46:00,22.20,68.70,80.70,73.53
2000-02-27 20:26:00,22.11,66.34,16.03,69.30
2000-02-28 02:34:00,2.03,64.86,338.30,64.18
2000-02-28 03:39:00,4.23,70.22,351.30,70.90
2000-02-28 05:33:00,22.71,66.76,265.36,56.38
2000-02-28 05:58:00,21.05,69.52,245.52,62.48
2000-02-28 10:01:00,21.80,70.28,203.38,71.32
2000-02-28 11:27:00,23.28,70.28,203.38,71.32
2000-02-28 11:47:00,2.39,67.50,238.77,61.76
2000-02-28 12:45:00,6.01,69.06,265.91,58.76
2000-02-28 13:05:00,1.80,65.29,212.14,64.87
2000-02-28 20:58:00,5.36,70.28,137.71,75.94
2000-02-29 05:25:00,22.11,77.93,264.15,68.63
2000-02-29 07:26:00,22.04,67.50,238.77,61.76
2000-02-29 10:01:00,21.80,70.28,203.38,71.32
2000-03-01 04:53:00,22.03,66.76,265.36,56.38
2000-03-01 05:15:00,22.43,69.06,265.91,58.76
2000-03-01 09:16:00,0.69,62.09,246.65,54.62
2000-03-01 09:39:00,22.85,66.13,220.89,64.05
